L,R,F,M,C
0.732903,-0.906452,3.191225,3.837263,3.798930
0.130237,-0.884417,6.309478,5.836270,1.485319
-1.292104,-0.862382,0.498188,6.566066,0.948192
1.584420,-0.818313,5.884262,5.871563,1.442335
0.827254,-0.911961,5.175568,3.825435,3.790718
2.270824,-0.829330,6.805564,7.240287,0.516696
2.268465,-0.928487,3.687311,3.796697,3.808030
2.118683,-0.933996,7.159911,8.907884,-0.257829
0.222229,-0.945013,1.348621,3.726207,3.872583
1.849782,-0.922978,4.750352,5.310488,1.856670
-0.932391,-0.856874,6.876434,6.920324,0.656510
0.400316,-0.851365,0.498188,8.753983,-0.220264
0.321297,-0.812804,7.655997,7.364073,0.368614
1.672874,-0.945013,2.340793,4.730888,2.335232
1.215272,-0.206844,0.498188,5.655103,1.442120
-0.099744,0.063083,0.710797,5.623896,1.466891
0.078344,-0.867891,4.821221,4.170430,3.004269
1.373310,-0.917470,4.962960,4.243961,2.885245
-0.185839,-0.884417,5.529915,7.702276,0.122189
-0.183480,-0.085653,0.356450,5.983474,1.134489
1.492428,-0.900943,1.915576,3.790332,3.527352
0.787155,-0.889926,6.380348,4.067972,3.100507
2.270824,-0.889926,5.529915,6.689425,0.654516
2.201240,-0.911961,8.010344,7.565142,0.174298
1.321417,-0.823821,4.608613,3.649066,3.743483
2.255492,-0.917470,4.750352,6.674937,0.654483
1.427562,-0.878909,7.372519,7.032188,0.433147
-0.379258,-0.867891,3.262095,3.524282,3.926858
1.556115,-0.906452,6.876434,6.032589,1.039912
1.571447,-0.900943,11.908160,7.848007,-0.011118
0.058294,-0.945013,6.451217,9.536505,-0.647319
2.204778,-0.906452,6.734695,6.579461,0.646018
-0.461816,-0.283967,0.143842,5.152644,1.720379
0.022912,-0.939504,9.711209,6.567776,0.619692
-0.658773,-0.680595,4.537744,3.651108,3.556823
1.317879,-0.933996,3.049487,3.669729,3.499243
-0.668208,-0.928487,4.821221,3.548365,3.702798
2.200060,-0.862382,1.986446,5.815085,1.103821
1.779019,-0.911961,9.215123,7.892278,-0.103781
-1.307436,-0.823821,0.143842,5.202709,1.591038
-0.422896,-0.785260,0.852535,5.130984,1.643872
-0.512529,-0.851365,0.072972,5.185847,1.580675
1.395719,-0.939504,5.175568,6.384805,0.655930
2.155244,-0.933996,3.970789,4.760338,1.965879
2.121041,-0.906452,7.372519,6.859524,0.349258
-0.905265,-0.939504,7.868605,3.421444,3.767189
1.255372,-0.856874,2.482531,3.500675,3.609194
-0.185839,-0.427193,0.143842,5.051278,1.624263
1.595035,-0.361089,2.624270,3.480914,3.636591
2.053816,-0.939504,5.246438,6.672800,0.415717
0.877968,-0.889926,3.403833,4.225531,2.489408
1.985412,-0.928487,6.947303,7.102393,0.155771
-0.188198,0.035539,0.214711,7.892658,-0.220256
2.134015,-0.939504,3.899919,4.846314,1.754332
0.021733,-0.945013,2.766009,3.881438,2.907024
-0.087950,-0.570420,4.396005,3.762022,3.068504
-0.234194,-0.801786,0.002103,4.954852,1.628169
0.144389,-0.917470,3.332964,3.222940,3.995074
0.222229,-0.851365,7.655997,7.582528,-0.113294
0.645629,-0.933996,3.403833,3.377649,3.667219
1.612726,-0.945013,3.191225,3.478587,3.484220
-0.771994,-0.636525,2.199054,8.441478,-0.488835
0.804846,-0.939504,7.159911,6.352694,0.502824
2.084480,-0.823821,2.128184,7.042828,0.114921
2.089198,-0.862382,3.262095,3.668636,3.118605
1.891061,-0.785260,0.285580,7.928141,-0.306110
2.272003,-0.851365,7.797736,7.730871,-0.226504
2.051458,-0.917470,4.254266,3.507610,3.357571
0.130237,-0.895435,7.159911,4.943547,1.548291
1.974797,-0.939504,4.608613,6.644632,0.298070
0.525331,-0.895435,3.191225,3.531075,3.298874
-0.792044,-0.878909,0.285580,4.658877,1.811400
0.353141,-0.900943,4.608613,6.380102,0.440801
2.203599,-0.933996,5.388176,4.742288,1.715730
1.192864,-0.669577,0.072972,5.713529,0.876387
2.062072,-0.933996,7.939474,4.574041,1.881444
1.848603,-0.779752,4.041658,6.185920,0.549839
0.868533,-0.945013,3.829050,3.282743,3.698281
-0.321468,-0.388632,0.994274,7.676103,-0.231215
0.252893,-0.928487,3.332964,3.687256,2.977894
1.183429,-0.945013,8.010344,8.163268,-0.454491
0.418007,-0.889926,6.026001,7.325693,-0.110435
1.767225,-0.933996,3.191225,6.041329,0.596765
-0.361568,-0.922978,3.687311,11.636165,-1.427494
2.235442,-0.322528,2.624270,3.400211,3.398648
1.059593,-0.939504,3.262095,3.184084,3.789956
2.113965,-0.922978,8.789907,6.090492,0.552629
-0.340339,-0.928487,3.970789,6.249096,0.447296
0.886224,-0.928487,4.183397,7.738091,-0.309998
1.436997,-0.862382,7.372519,5.382546,1.049739
1.191685,-0.945013,6.947303,7.377753,-0.157056
0.696342,-0.884417,6.592956,6.076859,0.546953
0.430980,-0.834839,2.836878,3.136726,3.844847
2.030229,-0.933996,6.663825,7.119304,-0.041316
2.100992,0.030031,-0.068767,4.503408,1.853558
-0.065542,-0.878909,3.332964,3.577483,3.036957
0.973498,-0.851365,3.332964,6.085410,0.516142
1.777840,-0.807295,5.033829,3.663269,2.878803
-0.939467,0.795743,-0.139636,4.987533,1.318297
0.647987,-0.945013,7.372519,5.648168,0.778479
2.098633,-0.939504,5.884262,5.773807,0.686173
-0.630468,-0.917470,4.750352,6.358537,0.307052
1.694103,-0.911961,4.537744,3.265215,3.490884
1.136254,-0.945013,6.238609,3.534352,3.028075
2.275541,-0.945013,6.734695,7.029290,-0.060627
1.757790,0.647007,0.923405,4.370787,1.905702
0.755312,-0.878909,7.230781,6.379532,0.283626
-0.007752,-0.900943,3.191225,3.171117,3.636505
1.355619,-0.829330,4.537744,4.854246,1.398105
-1.130528,-0.405158,-0.068767,4.473388,1.772296
1.677592,-0.785260,2.199054,3.649161,2.802178
-0.419358,-0.829330,0.569058,6.246626,0.337440
1.168097,-0.774243,2.907748,3.214817,3.520614
1.929981,-0.928487,3.120356,3.118914,3.684327
-0.676464,-0.939504,5.104699,5.852753,0.571486
0.847304,-0.917470,7.018172,5.915881,0.527600
-0.533758,-0.851365,6.876434,5.170267,1.076916
1.724767,-0.922978,3.403833,3.836265,2.447931
-0.169328,-0.933996,3.474703,6.848551,-0.049041
0.651526,-0.900943,2.199054,3.616053,2.753094
1.394539,-0.922978,9.711209,6.667290,0.012168
-0.271934,-0.928487,2.199054,4.488161,1.614289
-0.062003,-0.493298,3.120356,4.609334,1.479508
1.850962,-0.933996,5.813393,4.361572,1.723295
1.941775,-0.878909,5.104699,5.795895,0.482870
-1.025562,-0.900943,0.285580,4.262059,1.779871
1.768405,-0.856874,8.222952,5.414799,0.728520
1.444073,-0.939504,7.939474,5.389196,0.745536
-0.389873,-0.928487,7.018172,5.381881,0.741051
0.280019,-0.945013,4.608613,5.582143,0.595037
1.688206,-0.829330,2.128184,2.879274,3.858758
0.143210,-0.945013,7.939474,6.802238,-0.145905
-0.599804,-0.917470,0.498188,3.761214,2.345661
-0.209427,-0.702629,2.907748,5.572120,0.574646
-0.536117,-0.945013,3.474703,3.131454,3.324955
0.096034,-0.945013,0.356450,4.182733,1.806865
-0.639903,-0.928487,2.553401,4.831541,1.149264
1.459405,-0.829330,0.994274,3.654148,2.466572
1.714153,-0.779752,2.199054,2.950050,3.640108
0.245817,-0.614490,5.317307,4.646195,1.298337
-0.093847,-0.945013,7.230781,5.091036,0.907003
0.014657,-0.840347,2.978617,2.770736,4.004015
0.099573,-0.840347,3.970789,6.941414,-0.245736
1.046620,-0.917470,7.089042,5.578295,0.531698
0.598453,-0.878909,4.325136,6.965355,-0.264643
1.173994,-0.741190,2.624270,3.007763,3.492531
-1.064482,-0.939504,1.986446,5.210024,0.791415
2.138732,-0.922978,4.962960,5.609455,0.494286
0.484053,-0.945013,10.065556,5.332481,0.681300
1.848603,-0.878909,3.262095,6.078807,0.181688
0.670396,-0.939504,2.836878,3.819545,2.152454
-0.296701,-0.906452,2.199054,2.918652,3.599875
0.456927,-0.928487,6.592956,5.760507,0.360971
1.784916,-0.928487,6.026001,4.709228,1.168943
-0.115076,-0.333545,0.356450,4.966157,0.939965
0.006401,-0.625507,1.419491,2.839849,3.751299
-0.104461,-0.922978,1.773837,4.845031,1.038713
1.690565,-0.922978,5.246438,6.758918,-0.213173
-0.878139,-0.878909,3.545572,5.827102,0.302801
-0.339159,-0.889926,3.899919,5.213682,0.727032
1.584420,-0.906452,5.104699,5.344546,0.624463
0.486411,-0.906452,7.443389,5.487854,0.509213
0.314221,-0.939504,7.797736,5.317755,0.624179
1.650466,-0.818313,5.317307,5.401214,0.562200
0.480514,-0.939504,4.325136,2.759431,3.851808
1.929981,-0.906452,6.026001,4.589432,1.228556
0.009939,-0.922978,5.742523,6.331414,-0.021738
0.009939,-0.906452,5.033829,5.571835,0.430510
-0.230656,-0.889926,6.592956,6.105930,0.083825
0.939296,-0.642033,1.065144,6.983310,-0.365410
1.808504,-0.779752,0.852535,4.448118,1.329689
1.683489,-0.939504,8.860776,4.993185,0.826070
-1.077455,-0.829330,3.191225,3.459159,2.515652
0.104290,-0.911961,2.695140,3.410281,2.588584
-0.530220,-0.906452,2.340793,5.822495,0.232012
-0.698872,-0.945013,6.876434,4.973472,0.837470
0.092496,-0.851365,2.411662,3.016740,3.251802
0.695163,-0.856874,4.608613,5.821450,0.221911
1.473558,-0.922978,3.403833,6.527306,-0.174255
-0.980746,-0.917470,3.829050,6.368037,-0.092220
1.256551,-0.928487,4.608613,6.018766,0.101609
1.722409,-0.862382,4.608613,2.987195,3.263108
-0.273114,-0.878909,1.136013,2.839944,3.550418
-0.507812,-0.328036,1.561229,6.005989,0.092659
1.175173,-0.900943,3.545572,5.894458,0.158363
-0.067900,-0.763225,2.907748,2.678870,3.884028
-0.664670,-0.928487,1.773837,2.632510,3.982904
1.317879,-0.592455,5.813393,5.170599,0.636015
1.163379,-0.895435,2.553401,2.711835,3.791551
-0.172866,-0.922978,2.836878,2.675545,3.829749
-0.511350,-0.945013,2.836878,5.622566,0.293403
1.866294,-0.768734,3.332964,5.224750,0.568007
0.868533,-0.900943,4.254266,6.262966,-0.087246
0.770644,-0.878909,2.482531,2.823081,3.506047
2.272003,-0.900943,6.734695,7.240477,-0.553158
-0.583292,-0.823821,5.955131,5.649023,0.268994
-0.915879,-0.922978,8.506430,6.362812,-0.151728
-0.379258,-0.939504,11.057728,5.399124,0.424670
-0.756662,-0.856874,2.624270,5.126091,0.621418
2.261388,-0.201336,0.002103,4.115425,1.545248
1.395719,-0.878909,1.702968,4.387840,1.255166
1.663439,-0.526350,0.639927,5.713814,0.208521
0.484053,-0.818313,3.403833,5.715904,0.206280
2.268465,-0.768734,5.104699,4.752976,0.915859
1.687027,-0.911961,3.332964,3.795225,1.909178
1.671695,-0.945013,7.514258,5.806725,0.130646
0.660961,-0.801786,2.624270,2.902122,3.273114
-1.071558,-0.928487,4.396005,4.582307,1.039056
-0.762559,-0.911961,3.687311,5.819122,0.118477
1.106769,-0.845856,2.482531,2.555559,3.998116
1.428741,-0.945013,2.411662,2.550381,3.999183
1.190505,-0.911961,7.301650,4.666525,0.944214
-0.250705,-0.878909,1.136013,2.608332,3.850496
-0.133946,0.983039,0.002103,3.947321,1.662281
1.556115,-0.906452,3.758180,3.605318,2.083199
0.096034,-0.586946,0.852535,7.889713,-0.862831
0.675113,-0.928487,2.695140,5.617103,0.205542
1.230604,-0.922978,6.096870,5.877358,0.036653
1.935878,-0.945013,2.411662,2.660867,3.658547
0.305965,-0.856874,3.474703,4.593802,0.957695
-0.727178,-0.487789,1.136013,3.103619,2.793137
-0.806196,-0.575929,1.136013,2.685283,3.589247
-1.124631,-0.867891,0.356450,4.147773,1.384832
1.633955,-0.945013,2.766009,2.610327,3.751169
0.870891,-0.862382,5.175568,4.163353,1.366207
1.767225,-0.939504,8.222952,6.196276,-0.160196
-1.084532,-0.873400,0.781666,6.643682,-0.386256
0.882685,-0.939504,4.679482,4.935805,0.655875
0.498205,-0.945013,3.899919,5.610690,0.174966
1.964183,-0.945013,5.955131,5.434939,0.287586
-0.466533,-0.840347,7.514258,6.007651,-0.064948
-1.019665,-0.686103,5.246438,5.293150,0.380118
-0.841578,-0.922978,1.702968,5.068853,0.542750
0.289454,-0.493298,-0.139636,3.894643,1.642014
1.488890,-0.945013,1.561229,2.525396,3.898073
1.558474,-0.939504,0.781666,2.735538,3.435566
1.328494,-0.922978,4.537744,5.777559,0.051059
0.079523,-0.845856,2.340793,6.099232,-0.138291
1.959465,-0.851365,7.018172,6.086597,-0.132759
1.674054,-0.812804,2.482531,3.090461,2.750088
1.761328,-0.945013,5.104699,2.776198,3.324250
2.125759,-0.945013,8.648168,4.717113,0.785522
1.695283,-0.933996,2.411662,5.389481,0.265307
2.297949,-0.917470,5.955131,5.590265,0.132647
-0.360388,-0.432702,0.285580,4.292602,1.156227
2.023152,-0.889926,5.033829,5.512270,0.180384
1.937057,-0.933996,5.742523,4.399620,1.046955
-0.571498,-0.917470,0.072972,6.730608,-0.485228
-1.125810,-0.939504,1.702968,4.556846,0.888232
1.657542,-0.889926,4.325136,5.046813,0.477633
-0.803838,-0.945013,6.096870,2.823366,3.141371
1.649287,-0.933996,7.372519,5.854463,-0.062707
2.090377,-0.856874,3.474703,3.030183,2.745778
-0.162251,-0.878909,5.175568,2.548149,3.674239
1.205837,-0.895435,2.553401,2.429113,3.951261
1.024212,-0.917470,6.522087,5.717994,-0.001798
1.632775,-0.884417,3.191225,3.173444,2.471244
1.675233,-0.900943,2.199054,5.399124,0.190949
-0.422896,-0.884417,6.309478,4.776631,0.642979
1.008880,-0.939504,4.041658,5.882630,-0.107879
1.007700,-0.922978,4.183397,2.505589,3.738209
0.497026,-0.922978,7.939474,4.784658,0.624046
0.988830,-0.851365,5.246438,3.414081,2.086826
1.162200,-0.884417,4.962960,4.902792,0.521996
-0.434690,-0.945013,7.797736,5.726591,-0.041156
-0.968952,-0.840347,0.427319,5.678949,-0.020282
2.181190,-0.829330,1.915576,2.539931,3.596129
-0.141022,-0.928487,5.033829,4.531006,0.802993
1.181070,-0.945013,4.892091,3.922003,1.406953
0.620862,-0.763225,3.829050,4.475716,0.846166
2.138732,-0.724664,2.411662,2.579357,3.475849
1.079643,-0.933996,4.466874,5.406771,0.124301
2.194163,-0.515333,4.041658,5.170884,0.281622
0.213973,-0.895435,2.340793,2.413770,3.842001
1.149227,-0.928487,1.702968,2.351687,3.990912
2.261388,-0.945013,6.663825,5.385158,0.131896
-0.120973,-0.845856,3.687311,2.341380,4.011926
-0.644620,-0.917470,3.474703,5.485194,0.064926
-1.069200,-0.945013,3.899919,5.046243,0.360246
1.668157,-0.785260,2.836878,5.123859,0.304004
-0.451201,-0.878909,0.639927,5.749582,-0.096817
-0.664670,-0.900943,6.238609,4.702293,0.617882
0.840227,-0.945013,7.585127,3.934306,1.347089
2.159961,-0.840347,4.750352,2.716205,3.153143
0.222229,-0.928487,6.309478,4.789931,0.545134
1.929981,-0.922978,7.372519,5.327540,0.151152
-0.473609,-0.482281,2.128184,2.709793,3.143456
2.110427,-0.933996,4.962960,5.169412,0.247781
1.896958,-0.889926,5.955131,5.551552,-0.001836
0.651526,-0.889926,4.750352,5.077688,0.310840
1.707077,-0.928487,8.577299,5.980101,-0.251070
0.441595,-0.867891,4.325136,5.584945,-0.027017
1.694103,-0.945013,3.262095,4.988910,0.369406
0.620862,-0.206844,0.498188,5.360316,0.109292
-1.242570,-0.945013,3.545572,2.804224,2.936268
0.987651,-0.922978,2.411662,2.395958,3.803628
-0.537296,-0.862382,1.844707,2.338435,3.936999
-0.164610,-0.823821,3.758180,4.512528,0.739771
-1.190677,-0.878909,0.214711,3.910461,1.330008
-0.099744,-0.939504,5.742523,5.248975,0.173976
0.589018,-0.917470,0.072972,6.201786,-0.383319
0.968781,-0.928487,3.403833,4.806746,0.485612
-0.242450,-0.939504,5.742523,4.742383,0.535371
-0.744868,-0.867891,5.033829,5.582760,-0.051573
-0.993719,-0.862382,2.269923,4.325757,0.887392
1.931160,-0.906452,3.545572,4.503266,0.720306
-0.296701,-0.939504,5.459046,2.901789,2.700524
2.157602,-0.939504,4.679482,4.936470,0.364930
1.240040,-0.807295,1.915576,2.509056,3.469236
0.202179,-0.873400,6.309478,4.061940,1.123391
0.071267,-0.856874,2.269923,2.301337,3.949280
0.223408,-0.774243,1.348621,2.476328,3.530975
0.272942,-0.911961,4.466874,4.979837,0.322990
1.173994,-0.851365,5.742523,4.245814,0.933282
-0.033698,-0.840347,2.978617,2.573372,3.314083
1.917008,-0.851365,4.325136,2.826929,2.810186
2.113965,-0.939504,4.112527,3.848188,1.339240
0.849663,-0.873400,1.702968,4.063935,1.104981
0.923964,-0.922978,2.340793,2.404270,3.670869
0.593736,-0.873400,6.026001,2.332782,3.841160
0.158542,-0.895435,6.734695,5.486429,-0.037543
0.861456,-0.906452,7.868605,4.477806,0.695253
-0.613956,-0.790769,1.844707,2.376957,3.711088
1.237681,-0.878909,6.096870,5.320890,0.062058
1.107948,-0.911961,1.490360,2.281197,3.944088
0.566610,-0.917470,1.915576,2.409353,3.629389
-0.236553,-0.906452,4.254266,2.676637,3.050039
-0.264858,-0.917470,5.033829,5.184944,0.145634
2.151705,-0.928487,3.829050,4.960742,0.300315
0.833151,-0.746699,2.411662,4.924024,0.325500
2.284976,-0.900943,3.758180,4.046264,1.087298
1.212914,-0.922978,6.167740,5.062536,0.223078
0.425083,-0.928487,2.978617,2.238826,4.009659
1.282497,-0.862382,3.758180,4.278684,0.844312
1.626878,0.388097,1.065144,3.934116,1.185584
0.466362,-0.834839,1.702968,2.606147,3.137160
-0.629288,-0.840347,3.474703,2.585532,3.156490
1.426383,-0.774243,2.624270,2.298867,3.804342
0.737621,-0.933996,2.411662,2.562162,3.202039
0.863815,-0.917470,6.451217,5.121911,0.134121
1.168097,-0.548385,2.836878,2.790733,2.738105
-1.092787,-0.900943,1.702968,2.445263,3.437181
0.267045,-0.884417,1.773837,2.337485,3.676579
1.866294,-0.873400,6.238609,2.260059,3.865556
1.059593,-0.911961,2.766009,3.337796,1.848453
1.373310,-0.884417,4.041658,5.121436,0.111854
-0.997257,-0.906452,4.962960,4.365895,0.695710
-1.134066,-0.856874,0.072972,3.717229,1.349306
-0.422896,-0.812804,3.758180,2.714068,2.836562
-0.915879,-0.922978,2.340793,2.710790,2.839249
1.299009,-0.939504,7.514258,5.707496,-0.255934
0.784796,-0.889926,4.466874,5.248595,0.019647
-0.521964,-0.945013,3.120356,4.755921,0.364295
1.282497,-0.917470,4.325136,5.268402,-0.008563
-0.268396,-0.856874,3.829050,3.104711,2.133841
-0.572678,-0.917470,0.639927,5.822020,-0.334903
0.696342,-0.928487,4.679482,4.603919,0.462857
0.755312,-0.939504,5.529915,4.988958,0.172379
2.294411,-0.906452,4.821221,4.894527,0.238666
-0.849834,-0.482281,0.569058,4.929725,0.212706
2.222469,-0.779752,4.821221,4.780811,0.319606
2.205957,-0.763225,5.884262,4.148628,0.844481
1.445253,-0.939504,6.167740,4.768461,0.315996
1.280139,-0.856874,5.529915,5.266265,-0.029541
1.151586,-0.945013,1.490360,2.191326,3.918598
2.047919,-0.884417,4.325136,4.427835,0.585608
1.628058,-0.851365,8.152083,5.091083,0.082148
-0.573857,-0.080144,5.033829,4.622112,0.422816
-0.780250,-0.906452,1.065144,3.487042,1.557413
-0.025442,-0.945013,6.026001,6.255556,-0.579107
1.617443,-0.911961,4.608613,4.144495,0.831855
0.086599,-0.592455,0.498188,3.300555,1.792447
1.349723,-0.724664,0.072972,5.155352,0.024946
2.137553,-0.945013,9.002515,5.345638,-0.098839
2.004282,-0.917470,5.246438,4.576986,0.442233
2.058534,-0.939504,4.962960,5.057263,0.083997
1.612726,-0.779752,2.057315,3.537677,1.471407
0.132595,-0.939504,4.254266,4.919512,0.177958
2.135194,-0.889926,4.962960,4.711175,0.329062
-0.886395,-0.928487,5.033829,2.348600,3.477458
1.807325,-0.873400,5.671654,4.116612,0.827214
1.604470,-0.812804,2.624270,3.867093,1.072378
2.286156,-0.895435,4.396005,5.175349,-0.014927
-0.120973,-0.928487,4.679482,4.221588,0.717011
1.051338,-0.900943,2.624270,4.199026,0.737551
0.208076,-0.790769,2.269923,2.462126,3.187474
1.295471,-0.878909,0.994274,4.088587,0.830688
2.286156,-0.939504,5.175568,5.068378,0.040430
-0.295522,-0.922978,2.624270,2.127818,3.959709
1.944133,-0.922978,4.041658,4.200688,0.714045
-1.160012,-0.906452,2.907748,4.627194,0.352287
0.601991,-0.581438,-0.068767,5.568558,-0.276597
1.691745,-0.895435,3.049487,4.780288,0.232900
